age,sibsp,parch,fare,pclass_1,pclass_2,pclass_3,sex_female,sex_male,embarked_C,embarked_Q,embarked_S,survived
22.0,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
38.0,0.4327933656785018,-0.4736736092984604,0.7868452935884461,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
26.0,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
35.0,0.4327933656785018,-0.4736736092984604,0.4207302360686478,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
35.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
32.98441247002398,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
54.0,-0.47454519624983954,-0.4736736092984604,0.395813560675251,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
2.0,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
27.0,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
14.0,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
4.0,0.4327933656785018,0.7676298785983874,-0.312172377522981,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
58.0,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
20.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
39.0,0.4327933656785018,5.73284383018578,-0.01870931177853076,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
14.0,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
55.0,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
2.0,3.1548090514635256,0.7676298785983874,-0.06199888922968463,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
32.98441247002398,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
31.0,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
27.915708812260537,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
35.0,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
34.0,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
15.0,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
28.0,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
8.0,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
38.0,0.4327933656785018,5.73284383018578,-0.016444159470040135,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
32.98441247002398,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
19.0,2.2474704895351842,2.0089333664952354,4.647001076532463,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
